model,Dimension,n_hypotheses,pearson_r,spearman_r,mean_score_diff_llm_minus_human
claude,Novelty,90,0.18461915787681582,0.1566842662939068,-4.934324553889585e-18
claude,Significance,90,-0.04397363854453286,-0.03961731457489524,-1.5419764230904953e-17
claude,Testability,90,0.05358164206958036,0.04898760179275053,-1.7886926507849745e-17
gemini,Novelty,90,0.16800475306069212,0.10914328662965508,-6.1679056923619804e-18
gemini,Significance,90,0.07482366620878414,0.02902697926455893,-3.7007434154171884e-18
gemini,Testability,90,0.13966799678573114,0.114952527699893,-1.4186183092432555e-17
gpt,Novelty,90,0.1747403052148918,0.12541641550983879,-8.635067969306773e-18
gpt,Significance,90,0.028865288512574954,0.044355916862751935,-1.0485439677015367e-17
gpt,Testability,90,0.08204232204472375,0.03905669929704756,-1.3569392523196357e-17
