dataset,dimension,delta_mu_mean,delta_mu_q2.5,delta_mu_q97.5,P_delta_mu_gt_0,P_delta_mu_lt_0,P_delta_mu_in_ROPE
claude,Novelty,4.08342208959358,3.6025929136556867,4.603880135603808,1.0,0.0,0.0
claude,Significance,1.3764158302048004,1.1572660795697423,1.5977000061633873,1.0,0.0,0.0
claude,Testability,-0.8745302745236986,-1.0936515943576488,-0.6537057142903611,0.0,1.0,0.0
gemini-3.5-flash-thinking,Novelty,4.441944200349741,3.906013985968158,5.045437544838254,1.0,0.0,0.0
gemini-3.5-flash-thinking,Significance,3.4287762114998315,3.0533047618506264,3.835107857589526,1.0,0.0,0.0
gemini-3.5-flash-thinking,Testability,-0.539582340381412,-0.7525930678227193,-0.3239999043855859,0.0,1.0,0.0
gpt-5.5,Novelty,3.791047038577498,3.359783101168212,4.266219180507023,1.0,0.0,0.0
gpt-5.5,Significance,1.5187246436733868,1.2952804552217105,1.7448699774913252,1.0,0.0,0.0
gpt-5.5,Testability,-0.7332056402544459,-0.942164098591393,-0.5222573912597152,0.0,1.0,0.0
